  EVENTID;TYPE;AUTHOR   ;DATE      ;TIME       ;LAT     ;LON      ;DEPTH;DEPFIX;AUTHOR   ;TYPE  ;MAG ;autho2;type2;mag2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
864092;ke  ;ISC      ;3/09/1964;36:22,8;6,8257;-73,0794;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
864471;ke  ;ISC      ;17/09/1964;27:40,3;6,7313;-72,9708;160;TRUE  ;ISC      ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863392;ke  ;ISC      ;9/10/1964;26:41,3;6,869;-73,0619;157,1;      ;ISC      ;mb    ;5,2;USCGS    ;mb    ;5,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863870;ke  ;ISC      ;26/10/1964;12:10,0;6,7039;-72,9528;161;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863995;ke  ;ISC      ;30/10/1964;47:55,8;6,8095;-73,1128;166;TRUE  ;ISC      ;mb    ;4,6;USCGS    ;mb    ;4,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
862533;ke  ;ISC      ;7/11/1964;29:10,5;6,8294;-73,0869;160;TRUE  ;ISC      ;mb    ;3,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
862733;ke  ;ISC      ;15/11/1964;46:29,2;6,792;-73,0258;161;TRUE  ;ISC      ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863060;ke  ;ISC      ;26/11/1964;50:34,0;6,6812;-72,8945;166;TRUE  ;ISC      ;mb    ;3,8;USCGS    ;mb    ;3,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
863131;ke  ;ISC      ;29/11/1964;11:06,9;6,7789;-73,1452;166;TRUE  ;ISC      ;mb    ;4,8;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861914;ke  ;ISC      ;15/12/1964;24:22,5;6,8032;-73,0824;166;TRUE  ;ISC      ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
862035;ke  ;ISC      ;18/12/1964;07:35,5;6,7957;-72,9871;166;TRUE  ;ISC      ;mb    ;4;USCGS    ;mb    ;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861065;ke  ;ISC      ;14/01/1965;19:00,8;6,8026;-73,1882;166;TRUE  ;ISC      ;mb    ;4,3;USCGS    ;mb    ;4,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
861304;ke  ;ISC      ;24/01/1965;19:33,1;6,9388;-73,0376;155,8;      ;ISC      ;mb    ;4,6;USCGS    ;mb    ;5,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
